002505.SZ,20180518,2.36,0.157,0.3511,0.43,544.473,,2.3465,1.0458,1.1563,548537.22,548461.98,245200.89,1294547.8392,1294370.2728,002505
002505.SZ,20180517,2.37,0.4793,1.0721,1.33,546.7801,,2.3565,1.0503,1.1612,548537.22,548461.98,245200.89,1300033.2114,1299854.8926,002505
002505.SZ,20180516,2.34,0.2534,0.5667,0.7,539.8588,,2.3267,1.037,1.1465,548537.22,548461.98,245200.89,1283577.0948,1283401.0332,002505
002505.SZ,20180515,2.37,0.2612,0.5843,0.73,546.7801,,2.3565,1.0503,1.1612,548537.22,548461.98,245200.89,1300033.2114,1299854.8926,002505
002505.SZ,20180514,2.39,0.4173,0.9334,1.22,551.3943,,2.3764,1.0591,1.171,548537.22,548461.98,245200.89,1311003.9558,1310824.1322,002505
002505.SZ,20180511,2.39,0.4022,0.8997,1.33,551.3943,,2.3764,1.0591,1.171,548537.22,548461.98,245200.89,1311003.9558,1310824.1322,002505
002505.SZ,20180510,2.4,0.4684,1.0478,1.84,553.7014,,2.3863,1.0636,1.1759,548537.22,548461.98,245200.89,1316489.328,1316308.752,002505
002505.SZ,20180509,2.42,0.2626,0.5874,1.08,558.3155,,2.4062,1.0724,1.1857,548537.22,548461.98,245200.89,1327460.0724,1327277.9916,002505
002505.SZ,20180508,2.46,0.2374,0.531,1.03,567.5439,,2.446,1.0902,1.2053,548537.22,548461.98,245200.89,1349401.5612,1349216.4708,002505
002505.SZ,20180507,2.48,0.3342,0.7474,1.56,572.1581,,2.4659,1.099,1.2151,548537.22,548461.98,245200.89,1360372.3056,1360185.7104,002505
002505.SZ,20180504,2.45,0.2144,0.4795,0.92,565.2368,,2.436,1.0857,1.2004,548537.22,548461.98,245200.89,1343916.189,1343731.851,002505
002505.SZ,20180503,2.42,0.2232,0.4993,0.88,558.3155,,2.4062,1.0724,1.1857,548537.22,548461.98,245200.89,1327460.0724,1327277.9916,002505
002505.SZ,20180502,2.43,0.2104,0.4706,0.75,560.6226,,2.4161,1.0769,1.1906,548537.22,548461.98,245200.89,1332945.4446,1332762.6114,002505
002505.SZ,20180427,2.45,0.1691,0.3781,0.55,565.2368,565.2368,2.4182,1.0857,1.0857,548537.22,548461.98,245219.7,1343916.189,1343731.851,002505
002505.SZ,20180426,2.46,0.2558,0.5722,0.79,177.0328,568.0217,2.428,2.1684,1.0902,548537.22,548480.79,245219.7,1349401.5612,1349262.7434,002505
002505.SZ,20180425,2.46,0.3073,0.6873,0.87,177.0328,230.5347,2.4141,2.1684,1.0806,548537.22,548480.79,245219.7,1349401.5612,1349262.7434,002505
002505.SZ,20180424,2.46,0.325,0.727,0.86,177.0328,230.5347,2.4141,2.1684,1.0806,548537.22,548480.79,245219.7,1349401.5612,1349262.7434,002505
002505.SZ,20180423,2.42,0.3474,0.777,0.88,174.1542,226.7862,2.3749,2.1331,1.063,548537.22,548480.79,245219.7,1327460.0724,1327323.5118,002505
002505.SZ,20180420,2.41,0.3133,0.7007,0.8,173.4345,185.5327,2.3488,2.1243,1.0128,548537.22,548480.79,245219.7,1321974.7002,1321838.7039,002505
002505.SZ,20180419,2.46,0.3316,0.7417,0.81,177.0328,189.382,2.3976,2.1684,1.0338,548537.22,548480.79,245219.7,1349401.5612,1349262.7434,002505
002505.SZ,20180418,2.45,0.4406,0.9855,1.05,176.3131,188.6121,2.3878,2.1595,1.0296,548537.22,548480.79,245219.7,1343916.189,1343777.9355,002505
002505.SZ,20180417,2.47,0.4618,1.0328,0.92,177.7524,190.1518,2.4073,2.1772,1.038,548537.22,548480.79,245219.7,1354886.9334,1354747.5513,002505
002505.SZ,20180416,2.48,0.4319,0.9659,0.67,178.472,190.9216,2.4171,2.186,1.0423,548537.22,548480.79,245219.7,1360372.3056,1360232.3592,002505
002505.SZ,20180413,2.47,0.2821,0.6309,0.36,177.7524,190.1518,2.4073,2.1772,1.038,548537.22,548480.79,245219.7,1354886.9334,1354747.5513,002505
002505.SZ,20180412,2.49,0.43,0.9618,0.48,179.1917,191.6915,2.4268,2.1948,1.0465,548537.22,548480.79,245219.7,1365857.6778,1365717.1671,002505
002505.SZ,20180411,2.51,0.489,1.0938,0.46,180.631,193.2312,2.4463,2.2124,1.0549,548537.22,548480.79,245219.7,1376828.4222,1376686.7829,002505
002505.SZ,20180410,2.53,0.8808,1.9702,0.81,182.0703,194.7709,2.4658,2.2301,1.0633,548537.22,548480.79,245219.7,1387799.1666,1387656.3987,002505
002505.SZ,20180409,2.56,1.1452,2.5614,1.11,184.2292,197.0804,2.495,2.2565,1.0759,548537.22,548480.79,245219.7,1404255.2832,1404110.8224,002505
002505.SZ,20180404,2.56,1.0066,2.2516,0.91,184.2292,197.0804,2.495,2.2565,1.0759,548537.22,548480.79,245219.7,1404255.2832,1404110.8224,002505
002505.SZ,20180403,2.51,0.9711,2.1721,0.68,180.631,193.2312,2.4463,2.2124,1.0549,548537.22,548480.79,245219.7,1376828.4222,1376686.7829,002505
